"source","source_rank","doi","title","year"
"Crossref","23","10.3390/atmos15111352","Systematic Review of Machine Learning and Deep Learning Techniques for Spatiotemporal Air Quality Prediction","2024"
"Crossref","24","10.46632/daai/4/3/3","Evaluation of Crime rate Prediction Using Machine Learning and Deep Learning for GRA Method","2025"
"Crossref","25","10.1016/j.uclim.2026.102784","Spatiotemporal dynamics and urban-rural disparities of household carbon emissions in China: A prefecture-level analysis using interpretable machine learning","2026"
"Crossref","26","10.58491/2735-4202.3489","Reliability-Oriented Spatiotemporal Machine Learning for High-Impact Power Outage Event Prediction","2026"
"Crossref","27","10.32604/cmc.2023.034190","Crime Prediction Methods Based on Machine Learning: A Survey","2023"
"Crossref","28","10.3390/urbansci10060315","Explainable AI for Urban Real-Estate Prediction: A Machine-Learning Framework for Urban Decision Support","2026"
"Crossref","29","10.25236/ijndes.2025.090102","Research on Crime Occurrence Prediction Using Machine Learning Methods—Considering Four Types of Crime in Chicago","2025"
"Crossref","30","10.64972/jaat.2025v3.230p34e:461-475","Federated Spatiotemporal Deep Learning for Privacy-Preserving Urban Traffic Flow Prediction","2025"
"Crossref","31","10.62527/joiv.10.3.4770","Optimizing Crime Prediction: Performance Comparison of 13 Machine Learning Models on Urban Crime Data","2026"
"Crossref","32","10.1016/j.asoc.2023.110886","Incorporating park events into crime hotspot prediction on street networks: A spatiotemporal graph learning approach","2023"
"Crossref","33","10.52783/cana.v32.5401","Evaluation of Various Machine Learning Algorithms for Crime Prediction","2025"
"Crossref","34","10.56726/irjmets51646","PREDICTION OF CRIME TYPE AND OCCURRENCE USING MACHINE LEARNING ALGORITHM","2024"
"Crossref","35","10.1016/j.jnlssr.2024.11.003","Ada-GCNLSTM: An adaptive urban crime spatiotemporal prediction model","2025"
"Crossref","36","10.25212/lfu.qzj.10.3.41","Machine Learning for Homicide Crime Prediction Exploring Patterns in Models and Applications","2025"
"Crossref","37","10.64388/irev9i11-1717915","AI-Based Crime Prediction and Real-Time Alert System Using Machine Learning Techniques","2026"
"Crossref","38","10.1109/access.2021.3078117","Empirical Analysis for Crime Prediction and Forecasting Using Machine Learning and Deep Learning Techniques","2021"
"Crossref","39","10.3390/en16134908","Evaluation of Machine Learning Methods on Large-Scale Spatiotemporal Data for Photovoltaic Power Prediction","2023"
"Crossref","40","10.1108/ohi-02-2025-0063","The role of urban environment maintenance in crime prevention: a machine learning analysis of street crime in Manhattan","2026"
